YEAR,SSP,CO2,CH4,other WMGs,O3,Aerosol radiation,Aerosol cloud,Other anthropogenic,Land use,Solar,Volcanic aerosols in Strat.
2027,SSP2-45,"2.50 ","0.58 ","0.63 ","0.46 ","-0.20 ","-0.85 ","0.21 ","-0.21 ","0.02 ","0.00 "
2028,SSP2-45,"2.54 ","0.59 ","0.63 ","0.46 ","-0.21 ","-0.85 ","0.21 ","-0.21 ","0.01 ","0.00 "
2029,SSP2-45,"2.58 ","0.59 ","0.63 ","0.46 ","-0.21 ","-0.85 ","0.21 ","-0.21 ","-0.01 ","0.00 "
2030,SSP2-45,"2.62 ","0.59 ","0.63 ","0.47 ","-0.21 ","-0.84 ","0.21 ","-0.21 ","-0.02 ","0.00 "
2031,SSP2-45,"2.65 ","0.60 ","0.63 ","0.47 ","-0.21 ","-0.83 ","0.21 ","-0.21 ","-0.03 ","0.00 "
2032,SSP2-45,"2.69 ","0.60 ","0.63 ","0.46 ","-0.21 ","-0.82 ","0.21 ","-0.21 ","-0.02 ","0.00 "
2033,SSP2-45,"2.73 ","0.60 ","0.63 ","0.46 ","-0.21 ","-0.81 ","0.21 ","-0.21 ","0.00 ","0.00 "
2034,SSP2-45,"2.77 ","0.60 ","0.63 ","0.46 ","-0.21 ","-0.80 ","0.22 ","-0.21 ","0.04 ","0.00 "
2035,SSP2-45,"2.81 ","0.60 ","0.63 ","0.46 ","-0.21 ","-0.79 ","0.22 ","-0.21 ","0.04 ","0.00 "
2036,SSP2-45,"2.85 ","0.61 ","0.63 ","0.46 ","-0.21 ","-0.78 ","0.22 ","-0.21 ","0.06 ","0.00 "
2037,SSP2-45,"2.89 ","0.61 ","0.63 ","0.46 ","-0.20 ","-0.77 ","0.22 ","-0.21 ","0.04 ","0.00 "
2038,SSP2-45,"2.93 ","0.61 ","0.63 ","0.46 ","-0.20 ","-0.76 ","0.22 ","-0.22 ","0.04 ","0.00 "
2039,SSP2-45,"2.97 ","0.61 ","0.63 ","0.45 ","-0.20 ","-0.75 ","0.22 ","-0.22 ","0.01 ","0.00 "
2040,SSP2-45,"3.01 ","0.61 ","0.63 ","0.45 ","-0.20 ","-0.74 ","0.22 ","-0.22 ","-0.01 ","0.00 "
2041,SSP2-45,"3.04 ","0.61 ","0.63 ","0.45 ","-0.20 ","-0.72 ","0.22 ","-0.22 ","-0.03 ","0.00 "
2042,SSP2-45,"3.08 ","0.61 ","0.63 ","0.45 ","-0.20 ","-0.71 ","0.22 ","-0.22 ","-0.03 ","0.00 "
2043,SSP2-45,"3.12 ","0.61 ","0.63 ","0.45 ","-0.20 ","-0.70 ","0.22 ","-0.22 ","-0.03 ","0.00 "
2044,SSP2-45,"3.16 ","0.61 ","0.63 ","0.44 ","-0.19 ","-0.69 ","0.21 ","-0.22 ","-0.02 ","0.00 "
2045,SSP2-45,"3.20 ","0.61 ","0.63 ","0.44 ","-0.19 ","-0.67 ","0.21 ","-0.22 ","0.02 ","0.00 "
2046,SSP2-45,"3.23 ","0.61 ","0.63 ","0.44 ","-0.19 ","-0.66 ","0.21 ","-0.22 ","0.04 ","0.00 "
2047,SSP2-45,"3.27 ","0.60 ","0.63 ","0.44 ","-0.19 ","-0.65 ","0.21 ","-0.22 ","0.07 ","0.00 "
2048,SSP2-45,"3.31 ","0.60 ","0.63 ","0.43 ","-0.19 ","-0.63 ","0.21 ","-0.22 ","0.07 ","0.00 "
2049,SSP2-45,"3.34 ","0.60 ","0.63 ","0.43 ","-0.19 ","-0.62 ","0.21 ","-0.22 ","0.05 ","0.00 "
2050,SSP2-45,"3.38 ","0.60 ","0.62 ","0.43 ","-0.18 ","-0.61 ","0.21 ","-0.22 ","0.01 ","0.00 "
2051,SSP2-45,"3.42 ","0.60 ","0.62 ","0.42 ","-0.18 ","-0.60 ","0.21 ","-0.22 ","0.00 ","0.00 "
2052,SSP2-45,"3.45 ","0.59 ","0.62 ","0.42 ","-0.18 ","-0.59 ","0.21 ","-0.22 ","-0.02 ","0.00 "
2053,SSP2-45,"3.49 ","0.59 ","0.62 ","0.42 ","-0.18 ","-0.58 ","0.21 ","-0.22 ","-0.03 ","0.00 "
2054,SSP2-45,"3.52 ","0.59 ","0.62 ","0.41 ","-0.18 ","-0.57 ","0.21 ","-0.22 ","-0.02 ","0.00 "
2055,SSP2-45,"3.56 ","0.59 ","0.62 ","0.41 ","-0.18 ","-0.56 ","0.21 ","-0.22 ","0.00 ","0.00 "
2056,SSP2-45,"3.59 ","0.58 ","0.62 ","0.40 ","-0.18 ","-0.55 ","0.21 ","-0.22 ","0.02 ","0.00 "
2057,SSP2-45,"3.62 ","0.58 ","0.62 ","0.40 ","-0.18 ","-0.54 ","0.21 ","-0.22 ","0.02 ","0.00 "
2058,SSP2-45,"3.66 ","0.58 ","0.62 ","0.40 ","-0.18 ","-0.53 ","0.21 ","-0.22 ","0.03 ","0.00 "
2059,SSP2-45,"3.69 ","0.57 ","0.62 ","0.39 ","-0.18 ","-0.52 ","0.20 ","-0.22 ","0.03 ","0.00 "
2060,SSP2-45,"3.72 ","0.57 ","0.62 ","0.39 ","-0.18 ","-0.51 ","0.20 ","-0.22 ","0.01 ","0.00 "
2061,SSP2-45,"3.75 ","0.57 ","0.62 ","0.38 ","-0.18 ","-0.51 ","0.20 ","-0.22 ","-0.01 ","0.00 "
2062,SSP2-45,"3.78 ","0.56 ","0.62 ","0.38 ","-0.18 ","-0.50 ","0.20 ","-0.22 ","-0.02 ","0.00 "
2063,SSP2-45,"3.81 ","0.56 ","0.62 ","0.38 ","-0.18 ","-0.49 ","0.21 ","-0.22 ","-0.03 ","0.00 "
2064,SSP2-45,"3.84 ","0.56 ","0.62 ","0.37 ","-0.18 ","-0.48 ","0.21 ","-0.22 ","-0.03 ","0.00 "
2065,SSP2-45,"3.87 ","0.55 ","0.62 ","0.37 ","-0.18 ","-0.47 ","0.21 ","-0.22 ","-0.03 ","0.00 "
2066,SSP2-45,"3.90 ","0.55 ","0.62 ","0.36 ","-0.18 ","-0.46 ","0.21 ","-0.22 ","0.00 ","0.00 "
2067,SSP2-45,"3.93 ","0.55 ","0.62 ","0.36 ","-0.18 ","-0.46 ","0.21 ","-0.22 ","0.03 ","0.00 "
2068,SSP2-45,"3.95 ","0.54 ","0.62 ","0.35 ","-0.18 ","-0.45 ","0.21 ","-0.21 ","0.04 ","0.00 "
2069,SSP2-45,"3.98 ","0.54 ","0.62 ","0.35 ","-0.18 ","-0.44 ","0.21 ","-0.21 ","0.04 ","0.00 "
2070,SSP2-45,"4.01 ","0.54 ","0.62 ","0.35 ","-0.19 ","-0.43 ","0.21 ","-0.21 ","0.02 ","0.00 "
2071,SSP2-45,"4.03 ","0.53 ","0.62 ","0.34 ","-0.19 ","-0.42 ","0.21 ","-0.21 ","0.00 ","0.00 "
2072,SSP2-45,"4.06 ","0.53 ","0.62 ","0.34 ","-0.19 ","-0.41 ","0.21 ","-0.21 ","-0.01 ","0.00 "
2073,SSP2-45,"4.08 ","0.53 ","0.62 ","0.34 ","-0.19 ","-0.41 ","0.21 ","-0.21 ","-0.02 ","0.00 "
2074,SSP2-45,"4.11 ","0.53 ","0.62 ","0.33 ","-0.19 ","-0.40 ","0.21 ","-0.21 ","-0.03 ","0.00 "
2075,SSP2-45,"4.13 ","0.52 ","0.62 ","0.33 ","-0.19 ","-0.39 ","0.21 ","-0.21 ","-0.04 ","0.00 "
2076,SSP2-45,"4.15 ","0.52 ","0.62 ","0.33 ","-0.19 ","-0.38 ","0.21 ","-0.21 ","-0.04 ","0.00 "
2077,SSP2-45,"4.17 ","0.52 ","0.62 ","0.32 ","-0.19 ","-0.37 ","0.21 ","-0.21 ","-0.04 ","0.00 "
2078,SSP2-45,"4.19 ","0.51 ","0.62 ","0.32 ","-0.19 ","-0.36 ","0.22 ","-0.21 ","-0.02 ","0.00 "
2079,SSP2-45,"4.21 ","0.51 ","0.62 ","0.32 ","-0.19 ","-0.35 ","0.22 ","-0.21 ","0.00 ","0.00 "
2080,SSP2-45,"4.23 ","0.51 ","0.62 ","0.31 ","-0.19 ","-0.34 ","0.22 ","-0.20 ","0.02 ","0.00 "
2081,SSP2-45,"4.24 ","0.51 ","0.62 ","0.31 ","-0.19 ","-0.34 ","0.22 ","-0.20 ","0.02 ","0.00 "
2082,SSP2-45,"4.26 ","0.50 ","0.62 ","0.30 ","-0.19 ","-0.33 ","0.22 ","-0.20 ","0.02 ","0.00 "
2083,SSP2-45,"4.27 ","0.50 ","0.62 ","0.30 ","-0.19 ","-0.32 ","0.22 ","-0.20 ","0.00 ","0.00 "
2084,SSP2-45,"4.29 ","0.50 ","0.62 ","0.30 ","-0.19 ","-0.31 ","0.22 ","-0.20 ","0.00 ","0.00 "
2085,SSP2-45,"4.30 ","0.50 ","0.62 ","0.29 ","-0.19 ","-0.30 ","0.22 ","-0.20 ","-0.03 ","0.00 "
